V1	V2.x	V3	V4	V5	len	grp	diff
NC_021684.1	Gnomon	intron	374741	375759	1018	177	1
NC_021684.1	Gnomon	exon	375760	376059	299	178	1
NC_021684.1	Gnomon	intron	376060	378657	2597	179	1
NC_021684.1	Gnomon	exon	378658	378849	191	180	1
NC_021684.1	Gnomon	intron	378850	379872	1022	181	1
NC_021684.1	Gnomon	exon	379873	380172	299	182	1
NC_021684.1	Gnomon	intron	380173	383519	3346	183	1
NC_021684.1	Gnomon	exon	383520	383523	3	184	1
NC_021684.1	Gnomon	intron	383524	384983	1459	185	1
NC_021684.1	Gnomon	exon	384984	385381	397	186	1
NC_021684.1	Gnomon	intron	385382	388170	2788	187	1
NC_021684.1	Gnomon	exon	388171	388220	49	188	1
NC_021684.1	Gnomon	intron	388221	388816	595	189	1
NC_021684.1	Gnomon	exon	388817	388982	165	190	1
NC_021684.1	Gnomon	intron	388983	389063	80	191	1
NC_021684.1	Gnomon	exon	389064	389180	116	192	1
NC_021684.1	Gnomon	intron	389181	389332	151	193	1
NC_021684.1	Gnomon	exon	389333	389500	167	194	1
NC_021684.1	Gnomon	intron	389501	389711	210	195	1
NC_021684.1	Gnomon	exon	389712	389757	45	196	1
NC_021684.1	Gnomon	intron	389758	389933	175	197	1
NC_021684.1	Gnomon	exon	389934	390050	116	198	1
NC_021684.1	Gnomon	intron	390051	390458	407	199	1
NC_021684.1	Gnomon	exon	390459	390607	148	200	1
NC_021684.1	Gnomon	intron	390608	391663	1055	201	1
NC_021684.1	Gnomon	exon	391664	392026	362	202	1
NC_021684.1	Gnomon	intron	392027	394309	2282	203	1
NC_021684.1	Gnomon	exon	394310	394361	51	204	1
NC_021684.1	Gnomon	intron	394362	394806	444	205	1
NC_021684.1	Gnomon	exon	394807	394862	55	206	1
NC_021684.1	Gnomon	intron	394863	394935	72	207	1
NC_021684.1	Gnomon	exon	394936	394954	18	208	1
NC_021684.1	Gnomon	intron	394955	395060	105	209	1
NC_021684.1	Gnomon	exon	395061	395454	393	210	1
NC_021684.1	Gnomon	intron	395455	395494	39	211	1
NC_021684.1	Gnomon	exon	395495	395761	266	212	1
NC_021684.1	Gnomon	intron	395762	396228	466	213	1
NC_021684.1	Gnomon	exon	396229	396443	214	214	1
NC_021684.1	Gnomon	intron	396444	398001	1557	215	1
NC_021684.1	Gnomon	exon	398002	398217	215	216	1
NC_021684.1	Gnomon	intron	398218	399170	952	217	1
NC_021684.1	Gnomon	exon	399171	399269	98	218	1
NC_021684.1	Gnomon	intron	399270	404618	5348	219	1
NC_021684.1	Gnomon	exon	404619	404663	44	220	1
NC_021684.1	Gnomon	intron	404664	407145	2481	221	1
NC_021684.1	Gnomon	exon	407146	407399	253	222	1
NC_021684.1	Gnomon	intron	407400	414909	7509	223	1
NC_021684.1	Gnomon	exon	414910	415091	181	224	1
NC_021684.1	Gnomon	intron	415092	422853	7761	225	1
NC_021684.1	Gnomon	exon	422854	422926	72	226	1
NC_021684.1	Gnomon	intron	422927	424280	1353	227	1
NC_021684.1	Gnomon	exon	424281	424299	18	228	1
NC_021684.1	Gnomon	intron	424300	424839	539	229	1
NC_021684.1	Gnomon	exon	424840	424886	46	230	1
NC_021684.1	Gnomon	intron	424887	449388	24501	231	1
NC_021684.1	Gnomon	exon	449389	449601	212	232	1
NC_021684.1	Gnomon	intron	449602	450211	609	233	1
NC_021684.1	Gnomon	exon	450212	450379	167	234	1
NC_021684.1	Gnomon	intron	450380	459769	9389	235	1
NC_021684.1	Gnomon	exon	459770	460016	246	236	1
NC_021684.1	Gnomon	intron	460017	464698	4681	237	1
NC_021684.1	Gnomon	exon	464699	464781	82	238	1
NC_021684.1	Gnomon	intron	464782	472435	7653	239	1
NC_021684.1	Gnomon	exon	472436	472564	128	240	1
NC_021684.1	Gnomon	intron	472565	473024	459	241	1
NC_021684.1	Gnomon	exon	473025	473121	96	242	1
NC_021684.1	Gnomon	intron	473122	474229	1107	243	1
NC_021684.1	Gnomon	exon	474230	474330	100	244	1
NC_021684.1	Gnomon	intron	474331	474609	278	245	1
NC_021684.1	Gnomon	exon	474610	474893	283	246	1
NC_021684.1	Gnomon	intron	474894	475553	659	247	1
NC_021684.1	Gnomon	exon	475554	475641	87	248	1
NC_021684.1	Gnomon	intron	475642	478960	3318	249	1
NC_021684.1	Gnomon	exon	478961	479185	224	250	1
NC_021684.1	Gnomon	intron	479186	481492	2306	251	1
NC_021684.1	Gnomon	exon	481493	481667	174	252	1
NC_021684.1	Gnomon	intron	481668	487251	5583	253	1
NC_021684.1	Gnomon	exon	487252	487501	249	254	1
NC_021684.1	Gnomon	intron	487502	488322	820	255	1
NC_021684.1	Gnomon	exon	488323	488437	114	256	1
NC_021684.1	Gnomon	intron	488438	489979	1541	257	1
NC_021684.1	Gnomon	exon	489980	490189	209	258	1
NC_021684.1	Gnomon	intron	490190	491045	855	259	1
NC_021684.1	Gnomon	exon	491046	491229	183	260	1
NC_021684.1	Gnomon	intron	491230	492559	1329	261	1
NC_021684.1	Gnomon	exon	492560	492697	137	262	1
NC_021684.1	Gnomon	intron	492698	494088	1390	263	1
NC_021684.1	Gnomon	exon	494089	494230	141	264	1
NC_021684.1	Gnomon	intron	494231	498321	4090	265	1
NC_021684.1	Gnomon	exon	498322	498418	96	266	1
NC_021684.1	Gnomon	intron	498419	500928	2509	267	1
NC_021684.1	Gnomon	exon	500929	501548	619	268	1
NC_021684.1	Gnomon	intron	501549	510585	9036	269	1
NC_021684.1	Gnomon	exon	510586	510753	167	270	1
NC_021684.1	Gnomon	intron	510754	537107	26353	271	1
NC_021684.1	Gnomon	exon	537108	537193	85	272	1
NC_021684.1	Gnomon	intron	537194	543470	6276	273	1
NC_021684.1	Gnomon	exon	543471	543585	114	274	1
NC_021684.1	Gnomon	intron	543586	545945	2359	275	1
NC_021684.1	Gnomon	exon	545946	546106	160	276	1
NC_021684.1	Gnomon	intron	546107	546601	494	277	1
NC_021684.1	Gnomon	exon	546602	546743	141	278	1
NC_021684.1	Gnomon	intron	546744	549100	2356	279	1
NC_021684.1	Gnomon	exon	549101	549287	186	280	1
NC_021684.1	Gnomon	intron	549288	549840	552	281	1
NC_021684.1	Gnomon	exon	549841	550003	162	282	1
NC_021684.1	Gnomon	intron	550004	550773	769	283	1
NC_021684.1	Gnomon	exon	550774	550861	87	284	1
NC_021684.1	Gnomon	intron	550862	551386	524	285	1
NC_021684.1	Gnomon	exon	551387	551493	106	286	1
NC_021684.1	Gnomon	intron	551494	551782	288	287	1
NC_021684.1	Gnomon	exon	551783	551874	91	288	1
NC_021684.1	Gnomon	intron	551875	552260	385	289	1
NC_021684.1	Gnomon	exon	552261	552350	89	290	1
NC_021684.1	Gnomon	intron	552351	553097	746	291	1
NC_021684.1	Gnomon	exon	553098	553460	362	292	1
NC_021684.1	Gnomon	intron	553461	554229	768	293	1
NC_021684.1	Gnomon	exon	554230	554349	119	294	1
NC_021684.1	Gnomon	intron	554350	554965	615	295	1
NC_021684.1	Gnomon	exon	554966	555084	118	296	1
NC_021684.1	Gnomon	intron	555085	555421	336	297	1
NC_021684.1	Gnomon	exon	555422	555600	178	298	1
NC_021684.1	Gnomon	intron	555601	555886	285	299	1
NC_021684.1	Gnomon	exon	555887	555960	73	300	1
NC_021684.1	Gnomon	intron	555961	557030	1069	301	1
NC_021684.1	Gnomon	exon	557031	557188	157	302	1
NC_021684.1	Gnomon	intron	557189	561298	4109	303	1
NC_021684.1	Gnomon	exon	561299	561576	277	304	1
NC_021684.1	Gnomon	intron	561577	562535	958	305	1
NC_021684.1	Gnomon	exon	562536	562631	95	306	1
NC_021684.1	Gnomon	intron	562632	563511	879	307	1
NC_021684.1	Gnomon	exon	563512	563621	109	308	1
NC_021684.1	Gnomon	intron	563622	564898	1276	309	1
NC_021684.1	Gnomon	exon	564899	565160	261	310	1
NC_021684.1	Gnomon	intron	565161	566606	1445	311	1
NC_021684.1	Gnomon	exon	566607	567076	469	312	1
NC_021684.1	Gnomon	intron	567077	701527	134450	313	1
NC_021684.1	Gnomon	exon	701528	702008	480	314	1
NC_021684.1	Gnomon	intron	702009	702431	422	315	1
NC_021684.1	Gnomon	exon	702432	702516	84	316	1
NC_021684.1	Gnomon	intron	702517	702663	146	317	1
NC_021684.1	Gnomon	exon	702664	702794	130	318	1
NC_021684.1	Gnomon	intron	702795	702914	119	319	1
NC_021684.1	Gnomon	exon	702915	703214	299	320	1
NC_021684.1	Gnomon	intron	703215	726252	23037	321	1
NC_021684.1	Gnomon	exon	726253	726425	172	322	1
NC_021684.1	Gnomon	intron	726426	726775	349	323	1
NC_021684.1	Gnomon	exon	726776	726846	70	324	1
NC_021684.1	Gnomon	intron	726847	737009	10162	325	1
NC_021684.1	Gnomon	exon	737010	737102	92	326	1
NC_021684.1	Gnomon	intron	737103	738777	1674	327	1
NC_021684.1	Gnomon	exon	738778	739283	505	328	1
NC_021684.1	Gnomon	intron	739284	739764	480	329	1
NC_021684.1	Gnomon	exon	739765	739936	171	330	1
NC_021684.1	Gnomon	intron	739937	740609	672	331	1
NC_021684.1	Gnomon	exon	740610	740690	80	332	1
NC_021684.1	Gnomon	intron	740691	740912	221	333	1
NC_021684.1	Gnomon	exon	740913	741031	118	334	1
NC_021684.1	Gnomon	intron	741032	741781	749	335	1
NC_021684.1	Gnomon	exon	741782	741919	137	336	1
NC_021684.1	Gnomon	intron	741920	742590	670	337	1
NC_021684.1	Gnomon	exon	742591	743795	1204	338	1
NC_021684.1	Gnomon	intron	743796	744517	721	339	1
NC_021684.1	Gnomon	exon	744518	744703	185	340	1
NC_021684.1	Gnomon	intron	744704	745432	728	341	1
NC_021684.1	Gnomon	exon	745433	745543	110	342	1
NC_021684.1	Gnomon	intron	745544	746332	788	343	1
NC_021684.1	Gnomon	exon	746333	747068	735	344	1
NC_021684.1	Gnomon	intron	747069	809257	62188	345	1
NC_021684.1	Gnomon	exon	809258	809431	173	346	1
NC_021684.1	Gnomon	intron	809432	815069	5637	347	1
NC_021684.1	Gnomon	exon	815070	815192	122	348	1
NC_021684.1	Gnomon	intron	815193	815605	412	349	1
NC_021684.1	Gnomon	exon	815606	815832	226	350	1
NC_021684.1	Gnomon	intron	815833	829552	13719	351	1
NC_021684.1	Gnomon	exon	829553	829824	271	352	1
NC_021684.1	Gnomon	intron	829825	850875	21050	353	1
NC_021684.1	Gnomon	exon	850876	852494	1618	354	1
NC_021684.1	Gnomon	intron	852495	988412	135917	355	1
NC_021684.1	Gnomon	exon	988413	990185	1772	356	1
NC_021684.1	Gnomon	intron	990186	993974	3788	357	1
NC_021684.1	Gnomon	exon	993975	994098	123	358	1
NC_021684.1	Gnomon	intron	994099	996586	2487	359	1
NC_021684.1	Gnomon	exon	996587	996715	128	360	1
NC_021684.1	Gnomon	intron	996716	997685	969	361	1
NC_021684.1	Gnomon	exon	997686	997802	116	362	1
NC_021684.1	Gnomon	intron	997803	998398	595	363	1
NC_021684.1	Gnomon	exon	998399	998524	125	364	1
NC_021684.1	Gnomon	intron	998525	999788	1263	365	1
NC_021684.1	Gnomon	exon	999789	999917	128	366	1
NC_021684.1	Gnomon	intron	999918	1003488	3570	367	1
NC_021684.1	Gnomon	exon	1003489	1003632	143	368	1
NC_021684.1	Gnomon	intron	1003633	1003921	288	369	1
NC_021684.1	Gnomon	exon	1003922	1004059	137	370	1
NC_021684.1	Gnomon	intron	1004060	1005162	1102	371	1
NC_021684.1	Gnomon	exon	1005163	1005297	134	372	1
NC_021684.1	Gnomon	intron	1005298	1010704	5406	373	1
NC_021684.1	Gnomon	exon	1010705	1010845	140	374	1
NC_021684.1	Gnomon	intron	1010846	1012338	1492	375	1
NC_021684.1	Gnomon	exon	1012339	1012440	101	376	1
NC_021684.1	Gnomon	intron	1012441	1012906	465	377	1
NC_021684.1	Gnomon	exon	1012907	1013020	113	378	1
NC_021684.1	Gnomon	intron	1013021	1014990	1969	379	1
NC_021684.1	Gnomon	exon	1014991	1015197	206	380	1
NC_021684.1	Gnomon	intron	1015198	1017326	2128	381	1
NC_021684.1	Gnomon	exon	1017327	1017513	186	382	1
NC_021684.1	Gnomon	intron	1017514	1021679	4165	383	1
NC_021684.1	Gnomon	exon	1021680	1021809	129	384	1
NC_021684.1	Gnomon	intron	1021810	1027090	5280	385	1
NC_021684.1	Gnomon	exon	1027091	1027202	111	386	1
NC_021684.1	Gnomon	intron	1027203	1062430	35227	387	1
NC_021684.1	Gnomon	exon	1062431	1062937	506	388	1
NC_021684.1	Gnomon	intron	1062938	1065676	2738	389	1
NC_021684.1	Gnomon	exon	1065677	1066606	929	390	1
NC_021684.1	Gnomon	intron	1066607	1081846	15239	391	1
NC_021684.1	Gnomon	exon	1081847	1081975	128	392	1
NC_021684.1	Gnomon	intron	1081976	1169570	87594	393	1
NC_021684.1	Gnomon	exon	1169571	1171756	2185	394	1
NC_021684.1	Gnomon	intron	1171757	1174826	3069	395	1
NC_021684.1	Gnomon	exon	1174827	1175005	178	396	1
NC_021684.1	Gnomon	intron	1175006	1177793	2787	397	1
NC_021684.1	Gnomon	exon	1177794	1177890	96	398	1
NC_021684.1	Gnomon	intron	1177891	1179748	1857	399	1
NC_021684.1	Gnomon	exon	1179749	1179811	62	400	1
NC_021684.1	Gnomon	intron	1179812	1181058	1246	401	1
NC_021684.1	Gnomon	exon	1181059	1181135	76	402	1
NC_021684.1	Gnomon	intron	1181136	1181282	146	403	1
NC_021684.1	Gnomon	exon	1181283	1181325	42	404	1
NC_021684.1	Gnomon	intron	1181326	1183398	2072	405	1
NC_021684.1	Gnomon	exon	1183399	1183515	116	406	1
NC_021684.1	Gnomon	intron	1183516	1187497	3981	407	1
NC_021684.1	Gnomon	exon	1187498	1187640	142	408	1
NC_021684.1	Gnomon	intron	1187641	1189673	2032	409	1
NC_021684.1	Gnomon	exon	1189674	1189822	148	410	1
NC_021684.1	Gnomon	intron	1189823	1189919	96	411	1
NC_021684.1	Gnomon	exon	1189920	1190430	510	412	1
NC_021684.1	Gnomon	intron	1190431	1190455	24	413	1
NC_021684.1	Gnomon	non_coding	1190456	1214787	24331	414	1
NC_021684.1	Gnomon	exon	1214788	1214945	157	415	1
NC_021684.1	Gnomon	intron	1214946	1223198	8252	416	1
NC_021684.1	Gnomon	exon	1223199	1223232	33	417	1
NC_021684.1	Gnomon	intron	1223233	1223340	107	418	1
NC_021684.1	Gnomon	exon	1223341	1223443	102	419	1
NC_021684.1	Gnomon	intron	1223444	1225317	1873	420	1
NC_021684.1	Gnomon	exon	1225318	1225449	131	421	1
NC_021684.1	Gnomon	intron	1225450	1226258	808	422	1
NC_021684.1	Gnomon	exon	1226259	1226355	96	423	1
NC_021684.1	Gnomon	intron	1226356	1227828	1472	424	1
NC_021684.1	Gnomon	exon	1227829	1227979	150	425	1
NC_021684.1	Gnomon	intron	1227980	1228279	299	426	1
NC_021684.1	Gnomon	exon	1228280	1228412	132	427	1
NC_021684.1	Gnomon	intron	1228413	1229159	746	428	1
NC_021684.1	Gnomon	exon	1229160	1229318	158	429	1
NC_021684.1	Gnomon	intron	1229319	1229808	489	430	1
NC_021684.1	Gnomon	exon	1229809	1229877	68	431	1
NC_021684.1	Gnomon	intron	1229878	1230171	293	432	1
NC_021684.1	Gnomon	exon	1230172	1230278	106	433	1
NC_021684.1	Gnomon	intron	1230279	1231249	970	434	1
NC_021684.1	Gnomon	exon	1231250	1231390	140	435	1
NC_021684.1	Gnomon	intron	1231391	1232698	1307	436	1
NC_021684.1	Gnomon	exon	1232699	1232836	137	437	1
NC_021684.1	Gnomon	intron	1232837	1235533	2696	438	1
NC_021684.1	Gnomon	exon	1235534	1235689	155	439	1
NC_021684.1	Gnomon	intron	1235690	1236985	1295	440	1
NC_021684.1	Gnomon	exon	1236986	1237184	198	441	1
NC_021684.1	Gnomon	intron	1237185	1237741	556	442	1
NC_021684.1	Gnomon	exon	1237742	1237887	145	443	1
NC_021684.1	Gnomon	intron	1237888	1238999	1111	444	1
NC_021684.1	Gnomon	exon	1239000	1239221	221	445	1
NC_021684.1	Gnomon	intron	1239222	1240476	1254	446	1
NC_021684.1	Gnomon	exon	1240477	1240650	173	447	1
NC_021684.1	Gnomon	intron	1240651	1241640	989	448	1
NC_021684.1	Gnomon	exon	1241641	1241833	192	449	1
NC_021684.1	Gnomon	intron	1241834	1242102	268	450	1
NC_021684.1	Gnomon	exon	1242103	1242209	106	451	1
NC_021684.1	Gnomon	intron	1242210	1244404	2194	452	1
NC_021684.1	Gnomon	exon	1244405	1244509	104	453	1
NC_021684.1	Gnomon	intron	1244510	1244638	128	454	1
NC_021684.1	Gnomon	exon	1244639	1244740	101	455	1
NC_021684.1	Gnomon	intron	1244741	1247406	2665	456	1
NC_021684.1	Gnomon	exon	1247407	1247535	128	457	1
NC_021684.1	Gnomon	intron	1247536	1248203	667	458	1
NC_021684.1	Gnomon	exon	1248204	1248331	127	459	1
NC_021684.1	Gnomon	intron	1248332	1248861	529	460	1
NC_021684.1	Gnomon	exon	1248862	1248997	135	461	1
NC_021684.1	Gnomon	intron	1248998	1249292	294	462	1
NC_021684.1	Gnomon	exon	1249293	1249355	62	463	1
NC_021684.1	Gnomon	intron	1249356	1250232	876	464	1
NC_021684.1	Gnomon	exon	1250233	1250412	179	465	1
NC_021684.1	Gnomon	intron	1250413	1252055	1642	466	1
NC_021684.1	Gnomon	exon	1252056	1252136	80	467	1
